-253.457853,-67.162542
-258.657853,-76.169206
-248.257853,-76.169206
-253.460139,-48.871341
-258.660139,-57.878005
-248.260139,-57.878005
-253.461773,-30.579615
-258.661773,-39.586279
-248.261773,-39.586279
-253.462753,-12.287707
-258.662753,-21.294371
-248.262753,-21.294371
-253.463079,6.004443
-258.663079,-3.002221
-248.263079,-3.002221
-253.462753,24.296593
-258.662753,15.289929
-248.262753,15.289929
-253.461773,42.588501
-258.661773,33.581837
-248.261773,33.581837
-253.460139,60.880227
-258.660139,51.873563
-248.260139,51.873563
-253.457853,79.171428
-258.657853,70.164764
-248.257853,70.164764
-237.619556,-94.601054
-242.819556,-103.607718
-232.419556,-103.607718
-237.622618,-76.310206
-242.822618,-85.31687
-232.422618,-85.31687
-237.625068,-58.018722
-242.825068,-67.025386
-232.425068,-67.025386
-237.626905,-39.726743
-242.826905,-48.733407
-232.426905,-48.733407
-237.62813,-21.43441
-242.82813,-30.441074
-237.628743,-3.141865
-242.828743,-12.148529
-232.428743,-12.148529
-237.628743,15.150751
-242.828743,6.144087
-232.428743,6.144087
-237.62813,33.443296
-232.42813,24.436632
-237.626905,51.735629
-242.826905,42.728965
-232.426905,42.728965
-237.625068,70.027608
-242.825068,61.020944
-232.425068,61.020944
-237.622618,88.319092
-242.822618,79.312428
-232.422618,79.312428
-237.619556,106.60994
-242.819556,97.603276
-232.419556,97.603276
-237.615881,124.90001
-242.815881,115.893346
-232.415881,115.893346
-221.779076,-122.039812
-226.979076,-131.046476
-216.579076,-131.046476
-221.782792,-103.749571
-226.982792,-112.756235
-216.582792,-112.756235
-221.785936,-85.458582
-226.985936,-94.465246
-216.585936,-94.465246
-221.788508,-67.166786
-216.588508,-76.17345
-221.790509,-48.874524
-226.990509,-57.881188
-216.590509,-57.881188
-221.791938,-30.581737
-226.991938,-39.588401
-216.591938,-39.588401
-221.792795,-12.288768
-226.992795,-21.295432
-216.592795,-21.295432
-221.793081,6.004443
-226.993081,-3.002221
-216.593081,-3.002221
-221.792795,24.297654
-226.992795,15.29099
-216.592795,15.29099
-221.791938,42.590623
-226.991938,33.583959
-216.591938,33.583959
-221.790509,60.88341
-226.990509,51.876746
-216.590509,51.876746
-221.788508,79.175672
-216.588508,70.169008
-221.785936,97.467468
-226.985936,88.460804
-216.585936,88.460804
-221.782792,115.758457
-226.982792,106.751793
-216.582792,106.751793
-221.779076,134.048698
-226.979076,125.042034
-216.579076,125.042034
-221.774789,152.337848
-226.974789,143.331184
-216.574789,143.331184
-205.936882,-149.476779
-211.136882,-158.483443
-200.736882,-158.483443
-205.941128,-131.1877
